순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,BABIP,P/G,P/IP,K/9,BB/9,K/BB,OBP,SLG,OPS,player_link,player_id,season_year,team_code
13,송승기,LG,4.18,10,3,1,0,0,0.750,47 1/3,52,5,14,0,40,25,22,1.39,0,0,1,0,209,882,0.271,7,1,1,2,0,4,0,10,3,0,0,0,0,2,43,59,0.73,0.315,88.2,18.6,7.61,2.66,2.86,0.317,0.396,0.713,/Record/Player/PitcherDetail/Basic.aspx?playerId=51111,51111,2026,LG
14,임찬규,LG,4.31,10,4,1,0,0,0.800,54 1/3,70,5,16,1,29,27,26,1.58,0,0,3,0,240,906,0.320,13,0,2,2,0,1,0,10,4,0,0,0,0,4,56,66,0.85,0.348,90.6,16.7,4.80,2.65,1.81,0.366,0.447,0.813,/Record/Player/PitcherDetail/Basic.aspx?playerId=61101,61101,2026,LG
15,박시원,LG,4.32,8,0,1,0,0,0.000,8 1/3,9,0,3,1,1,5,4,1.44,0,0,0,0,38,137,0.273,0,0,1,0,0,3,0,0,0,0,5,0,0,0,14,9,1.56,0.281,17.1,16.4,1.08,3.24,0.33,0.351,0.273,0.624,/Record/Player/PitcherDetail/Basic.aspx?playerId=55121,55121,2026,LG
16,우강훈,LG,4.98,26,0,1,0,12,0.000,21 2/3,20,1,8,3,23,16,12,1.29,0,0,0,2,96,365,0.235,3,1,0,0,0,1,0,0,0,0,0,18,0,2,24,18,1.33,0.311,14.0,16.8,9.55,3.32,2.88,0.323,0.329,0.652,/Record/Player/PitcherDetail/Basic.aspx?playerId=51526,51526,2026,LG
17,이정용,LG,5.65,14,0,1,0,1,0.000,28 2/3,42,2,11,2,16,21,18,1.85,0,0,0,0,140,497,0.339,5,1,1,2,0,1,0,5,0,0,2,2,0,0,37,31,1.19,0.370,35.5,17.3,5.02,3.45,1.45,0.396,0.444,0.840,/Record/Player/PitcherDetail/Basic.aspx?playerId=69134,69134,2026,LG
18,장현식,LG,5.85,21,4,2,2,7,0.667,20,22,4,8,1,18,13,13,1.50,0,0,0,3,88,361,0.278,1,0,0,0,1,2,0,0,0,4,3,10,0,3,22,17,1.29,0.316,17.2,18.1,8.10,3.60,2.25,0.352,0.443,0.795,/Record/Player/PitcherDetail/Basic.aspx?playerId=63950,63950,2026,LG
19,함덕주,LG,6.32,20,2,1,1,3,0.667,15 2/3,22,3,6,0,9,11,11,1.79,0,0,0,1,74,332,0.324,1,0,0,0,0,0,0,0,0,2,2,6,0,0,13,24,0.54,0.339,16.6,21.2,5.17,3.45,1.50,0.378,0.471,0.849,/Record/Player/PitcherDetail/Basic.aspx?playerId=63248,63248,2026,LG
20,치리노스,LG,6.68,8,2,3,0,0,0.400,33 2/3,47,4,14,4,28,26,25,1.81,0,0,0,0,164,648,0.331,8,0,3,1,0,1,0,8,2,0,0,0,0,5,43,25,1.72,0.387,81.0,19.2,7.49,3.74,2.00,0.404,0.472,0.876,/Record/Player/PitcherDetail/Basic.aspx?playerId=55146,55146,2026,LG
21,조건희,LG,9.00,2,0,0,0,0,-,2,4,1,2,0,1,2,2,3.00,0,0,0,0,12,47,0.400,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0.67,0.375,23.5,23.5,4.50,9.00,0.50,0.500,0.700,1.200,/Record/Player/PitcherDetail/Basic.aspx?playerId=51163,51163,2026,LG
22,배재준,LG,10.64,13,1,1,0,2,0.500,11,18,2,10,1,12,13,13,2.55,0,0,0,1,59,244,0.383,2,0,0,1,0,2,0,0,0,1,1,4,0,2,7,11,0.64,0.471,18.8,22.2,9.82,8.18,1.20,0.492,0.553,1.045,/Record/Player/PitcherDetail/Basic.aspx?playerId=63145,63145,2026,LG
23,성동현,LG,11.12,5,0,0,0,0,-,5 2/3,10,2,4,1,5,8,7,2.47,0,0,0,0,33,126,0.357,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,7,0.86,0.381,25.2,22.2,7.94,6.35,1.25,0.455,0.571,1.026,/Record/Player/PitcherDetail/Basic.aspx?playerId=68159,68159,2026,LG
24,백승현,LG,11.81,6,0,0,0,0,-,5 1/3,6,2,4,0,6,7,7,1.88,0,0,0,0,25,108,0.286,0,0,0,0,0,2,0,0,0,0,1,0,0,1,5,4,1.25,0.308,18.0,20.3,10.13,6.75,1.50,0.400,0.571,0.971,/Record/Player/PitcherDetail/Basic.aspx?playerId=65109,65109,2026,LG
25,이상영,LG,13.50,1,0,1,0,0,0.000,3 1/3,9,0,2,0,0,5,5,3.30,0,0,0,0,18,58,0.563,2,0,0,0,0,0,0,1,0,0,0,0,0,2,5,2,2.50,0.563,58.0,17.4,0.00,5.40,0.00,0.611,0.688,1.299,/Record/Player/PitcherDetail/Basic.aspx?playerId=69168,69168,2026,LG
